2024-05-21 19:37:34,324 - INFO - Polyanet created at (21, 18).
2024-05-21 19:37:34,442 - INFO - POST request to https://challenge.crossmint.io/api/soloons succeeded.
2024-05-21 19:37:34,445 - INFO - Soloon created at (21, 19).
2024-05-21 19:37:34,562 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:34,565 - INFO - Polyanet created at (21, 23).
2024-05-21 19:37:34,684 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:34,688 - INFO - Polyanet created at (22, 3).
2024-05-21 19:37:34,795 - WARNING - POST request to https://challenge.crossmint.io/api/soloons rate limited. Retrying in 5 seconds...
2024-05-21 19:37:40,067 - WARNING - POST request to https://challenge.crossmint.io/api/soloons rate limited. Retrying in 5 seconds...
2024-05-21 19:37:45,258 - INFO - POST request to https://challenge.crossmint.io/api/soloons succeeded.
2024-05-21 19:37:45,261 - INFO - Soloon created at (22, 5).
2024-05-21 19:37:45,401 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:45,402 - INFO - Polyanet created at (22, 6).
2024-05-21 19:37:45,534 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:45,536 - INFO - Polyanet created at (22, 7).
2024-05-21 19:37:45,898 - INFO - POST request to https://challenge.crossmint.io/api/soloons succeeded.
2024-05-21 19:37:45,902 - INFO - Soloon created at (22, 8).
2024-05-21 19:37:46,050 - INFO - POST request to https://challenge.crossmint.io/api/comeths succeeded.
2024-05-21 19:37:46,053 - INFO - Cometh created at (22, 14).
2024-05-21 19:37:46,174 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:46,177 - INFO - Polyanet created at (22, 19).
2024-05-21 19:37:46,292 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:46,297 - INFO - Polyanet created at (22, 20).
2024-05-21 19:37:46,422 - INFO - POST request to https://challenge.crossmint.io/api/polyanets succeeded.
2024-05-21 19:37:46,423 - INFO - Polyanet created at (22, 23).
2024-05-21 19:37:46,542 - INFO - POST request to https://challenge.crossmint.io/api/soloons succeeded.
2024-05-21 19:37:46,544 - INFO - Soloon created at (22, 24).
2024-05-21 19:37:46,674 - INFO - POST request to https://challenge.crossmint.io/api/comeths succeeded.
2024-05-21 19:37:46,677 - INFO - Cometh created at (22, 27).
2024-05-21 19:37:46,786 - WARNING - POST request to https://challenge.crossmint.io/api/polyanets rate limited. Retrying in 5 seconds...
